max_depth,reproduction,mutation_probability,leaf_inner_swap_probability,crossover_probability,succesion,accuracy,min_score,max_score,std_dev
5,proportional,0.4,0.0,0.0,generational,0.7524532019704434,0.4482758620689655,0.9310344827586208,0.11215684227858765
5,proportional,0.4,0.0,0.0,elite_2,0.8206502463054187,0.4482758620689655,1.0,0.11276329060394938
5,proportional,0.4,0.0,0.4,generational,0.7684630541871921,0.4482758620689655,0.9642857142857144,0.10367403366271932
5,proportional,0.4,0.0,0.4,elite_2,0.8657832512315271,0.6428571428571429,1.0,0.07307268789246324
5,proportional,0.4,0.3,0.0,generational,0.7964630541871921,0.5,1.0,0.09985313043863955
5,proportional,0.4,0.3,0.0,elite_2,0.8664729064039409,0.6551724137931034,1.0,0.06987942954716994
5,proportional,0.4,0.3,0.4,generational,0.7911428571428571,0.4827586206896552,0.9642857142857144,0.09401813073091046
5,proportional,0.4,0.3,0.4,elite_2,0.8736157635467979,0.5862068965517241,1.0,0.0637226578308923
5,proportional,0.8,0.0,0.0,generational,0.7346995073891626,0.4642857142857143,0.9285714285714286,0.10631248699835351
5,proportional,0.8,0.0,0.0,elite_2,0.8339310344827586,0.4827586206896552,0.9655172413793104,0.09211883418350554
5,proportional,0.8,0.0,0.4,generational,0.7246995073891626,0.4285714285714285,0.9642857142857144,0.10646944032239748
5,proportional,0.8,0.0,0.4,elite_2,0.8608669950738915,0.4827586206896552,1.0,0.08977833111757748
5,proportional,0.8,0.3,0.0,generational,0.7700886699507389,0.5172413793103449,0.9310344827586208,0.09114057630214449
5,proportional,0.8,0.3,0.0,elite_2,0.8667290640394089,0.7142857142857143,1.0,0.0599949041355839
5,proportional,0.8,0.3,0.4,generational,0.7756847290640394,0.4482758620689655,0.9642857142857144,0.09979582833425035
5,proportional,0.8,0.3,0.4,elite_2,0.8561576354679804,0.5862068965517241,1.0,0.07815448733682452
5,rank_0.05,0.4,0.0,0.0,generational,0.7066305418719212,0.4827586206896552,0.896551724137931,0.09851417018233101
5,rank_0.05,0.4,0.0,0.0,elite_2,0.8290640394088671,0.4827586206896552,1.0,0.09322576393978116
5,rank_0.05,0.4,0.0,0.4,generational,0.7004039408866995,0.4482758620689655,0.9285714285714286,0.10482649913142783
5,rank_0.05,0.4,0.0,0.4,elite_2,0.8428768472906404,0.4827586206896552,1.0,0.09446809858682537
5,rank_0.05,0.4,0.3,0.0,generational,0.6975665024630541,0.4827586206896552,0.9310344827586208,0.09688779550350607
5,rank_0.05,0.4,0.3,0.0,elite_2,0.8459014778325122,0.5517241379310345,1.0,0.08269384676346121
5,rank_0.05,0.4,0.3,0.4,generational,0.7009556650246306,0.5172413793103449,0.9310344827586208,0.09579340009657768
5,rank_0.05,0.4,0.3,0.4,elite_2,0.8344039408866994,0.5357142857142857,1.0,0.09323068954242777
5,rank_0.05,0.8,0.0,0.0,generational,0.7000788177339902,0.4482758620689655,0.9310344827586208,0.10380891693170219
5,rank_0.05,0.8,0.0,0.0,elite_2,0.8010738916256157,0.4827586206896552,1.0,0.10008671725135672
5,rank_0.05,0.8,0.0,0.4,generational,0.6887783251231526,0.4482758620689655,0.9642857142857144,0.10564524463370767
5,rank_0.05,0.8,0.0,0.4,elite_2,0.827576354679803,0.5172413793103449,0.9655172413793104,0.09774611624505904
5,rank_0.05,0.8,0.3,0.0,generational,0.7253793103448275,0.4827586206896552,0.9642857142857144,0.09948880438726826
5,rank_0.05,0.8,0.3,0.0,elite_2,0.8532512315270935,0.6785714285714286,1.0,0.0734658864453852
5,rank_0.05,0.8,0.3,0.4,generational,0.7244433497536946,0.4482758620689655,0.9655172413793104,0.10043197235442454
5,rank_0.05,0.8,0.3,0.4,elite_2,0.8476650246305418,0.6071428571428571,1.0,0.0796561052605618
5,truncation_0.8,0.4,0.0,0.0,generational,0.7224236453201971,0.5172413793103449,0.9285714285714286,0.09037110705720565
5,truncation_0.8,0.4,0.0,0.0,elite_2,0.8277536945812808,0.4827586206896552,1.0,0.09387221527098305
