max_depth,min_samples_split,prune,gain_ratio,min_entropy_decrease,repeating,accuracy,min_score,max_score,std_dev
5,1,False,False,0.0,False,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
5,1,False,False,0.0,True,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
5,1,False,False,0.3,False,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,1,False,False,0.3,True,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,1,False,True,0.0,False,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
5,1,False,True,0.0,True,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
5,1,False,True,0.3,False,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,1,False,True,0.3,True,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,1,True,False,0.0,False,0.8939408866995073,0.6551724137931034,1.0,0.05478244125278883
5,1,True,False,0.0,True,0.8955960591133005,0.6551724137931034,1.0,0.05532105206343126
5,1,True,False,0.3,False,0.6351625615763546,0.3571428571428571,0.896551724137931,0.12701213179558724
5,1,True,False,0.3,True,0.6351625615763546,0.3571428571428571,0.896551724137931,0.12701213179558724
5,1,True,True,0.0,False,0.8848472906403941,0.75,1.0,0.05857654470338894
5,1,True,True,0.0,True,0.887064039408867,0.75,1.0,0.055901288972925456
5,1,True,True,0.3,False,0.6353103448275862,0.3571428571428571,0.9285714285714286,0.12120903576736151
5,1,True,True,0.3,True,0.6364137931034483,0.3571428571428571,0.9285714285714286,0.12264356616308186
5,2,False,False,0.0,False,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
5,2,False,False,0.0,True,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
5,2,False,False,0.3,False,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,2,False,False,0.3,True,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,2,False,True,0.0,False,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
5,2,False,True,0.0,True,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
5,2,False,True,0.3,False,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,2,False,True,0.3,True,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,2,True,False,0.0,False,0.8939408866995073,0.6551724137931034,1.0,0.05478244125278883
5,2,True,False,0.0,True,0.8955960591133005,0.6551724137931034,1.0,0.05532105206343126
5,2,True,False,0.3,False,0.6351625615763546,0.3571428571428571,0.896551724137931,0.12701213179558724
5,2,True,False,0.3,True,0.6351625615763546,0.3571428571428571,0.896551724137931,0.12701213179558724
5,2,True,True,0.0,False,0.8848472906403941,0.75,1.0,0.05857654470338894
5,2,True,True,0.0,True,0.887064039408867,0.75,1.0,0.055901288972925456
5,2,True,True,0.3,False,0.6353103448275862,0.3571428571428571,0.9285714285714286,0.12120903576736151
5,2,True,True,0.3,True,0.6364137931034483,0.3571428571428571,0.9285714285714286,0.12264356616308186
5,10,False,False,0.0,False,0.8866995073891626,0.8214285714285714,1.0,0.06126270827391777
5,10,False,False,0.0,True,0.8866995073891626,0.8214285714285714,1.0,0.06126270827391777
5,10,False,False,0.3,False,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,10,False,False,0.3,True,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,10,False,True,0.0,False,0.8866995073891626,0.8214285714285714,1.0,0.06126270827391777
5,10,False,True,0.0,True,0.8866995073891626,0.8214285714285714,1.0,0.06126270827391777
5,10,False,True,0.3,False,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,10,False,True,0.3,True,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
5,10,True,False,0.0,False,0.8910935960591132,0.6896551724137931,1.0,0.0536391576476187
5,10,True,False,0.0,True,0.8916256157635467,0.6896551724137931,1.0,0.0548164566096941
5,10,True,False,0.3,False,0.6351625615763546,0.3571428571428571,0.896551724137931,0.12701213179558724
5,10,True,False,0.3,True,0.6351625615763546,0.3571428571428571,0.896551724137931,0.12701213179558724
5,10,True,True,0.0,False,0.8851330049261084,0.75,1.0,0.05729609085399247
5,10,True,True,0.0,True,0.8862364532019704,0.75,1.0,0.05615683918632768
5,10,True,True,0.3,False,0.6353103448275862,0.3571428571428571,0.9285714285714286,0.12120903576736151
5,10,True,True,0.3,True,0.6364137931034483,0.3571428571428571,0.9285714285714286,0.12264356616308186
20,1,False,False,0.0,False,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
20,1,False,False,0.0,True,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
20,1,False,False,0.3,False,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
20,1,False,False,0.3,True,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
20,1,False,True,0.0,False,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
20,1,False,True,0.0,True,0.8866995073891626,0.8214285714285714,0.9655172413793104,0.048111740937862475
20,1,False,True,0.3,False,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
20,1,False,True,0.3,True,0.5987684729064039,0.5172413793103449,0.6551724137931034,0.044987593432644433
20,1,True,False,0.0,False,0.8939408866995073,0.6551724137931034,1.0,0.05478244125278883
20,1,True,False,0.0,True,0.8955960591133005,0.6551724137931034,1.0,0.05532105206343126
20,1,True,False,0.3,False,0.6351625615763546,0.3571428571428571,0.896551724137931,0.12701213179558724
