max_depth,reproduction,mutation_probability,leaf_inner_swap_probabilty,crossover_probability,succesion,accuracy,min_score,max_score,std_dev
5,proportional,0.4,0.0,0.0,generational,0.6820319362044532,0.6040480708412397,0.7417721518987341,0.03338385538738803
5,proportional,0.4,0.0,0.0,elite_2,0.705935387793337,0.6348101265822785,0.7443037974683544,0.019780156089730678
5,proportional,0.4,0.0,0.4,generational,0.6716094828621526,0.6031645569620253,0.7411392405063291,0.032372228893764364
5,proportional,0.4,0.0,0.4,elite_2,0.7071741359018087,0.6221518987341772,0.739240506329114,0.019468967393494595
5,proportional,0.4,0.3,0.0,generational,0.6990526233196422,0.6208860759493671,0.7398734177215189,0.023036357708631983
5,proportional,0.4,0.3,0.0,elite_2,0.7139429362925243,0.6717267552182163,0.7462025316455696,0.014488017234651622
5,proportional,0.4,0.3,0.4,generational,0.7018408666202292,0.6069620253164557,0.7417721518987341,0.02532616554164202
5,proportional,0.4,0.3,0.4,elite_2,0.7143473558635377,0.6698292220113852,0.7430379746835443,0.014715514673522735
5,proportional,0.8,0.0,0.0,generational,0.6753390339394231,0.6056962025316456,0.7373417721518988,0.03290436940487001
5,proportional,0.8,0.0,0.0,elite_2,0.7072666778757235,0.6360759493670886,0.7424050632911392,0.020984415006891452
5,proportional,0.8,0.0,0.4,generational,0.6737045740958695,0.6084756483238457,0.7360759493670886,0.029447585051112852
5,proportional,0.8,0.0,0.4,elite_2,0.7041385791719709,0.629746835443038,0.7417721518987341,0.023246240378692527
5,proportional,0.8,0.3,0.0,generational,0.7133910631790487,0.6578115117014548,0.7417721518987341,0.01584909727789726
5,proportional,0.8,0.3,0.0,elite_2,0.7188928686378594,0.6943037974683545,0.7449367088607595,0.010552176355525123
5,proportional,0.8,0.3,0.4,generational,0.7131988310554928,0.6594936708860759,0.7417721518987341,0.01586596249340744
5,proportional,0.8,0.3,0.4,elite_2,0.7179108623768005,0.6892405063291139,0.7474683544303797,0.01054530191691812
5,rank_0.05,0.4,0.0,0.0,generational,0.6742758004467609,0.5844402277039848,0.7246835443037974,0.03148354534079136
5,rank_0.05,0.4,0.0,0.0,elite_2,0.7002194381059897,0.6116382036685643,0.7379746835443038,0.022846311350654142
5,rank_0.05,0.4,0.0,0.4,generational,0.6741989159240667,0.5993670886075949,0.7360759493670886,0.033900273919739383
5,rank_0.05,0.4,0.0,0.4,elite_2,0.7017746082834931,0.6449367088607595,0.7417721518987341,0.02176912125102124
5,rank_0.05,0.4,0.3,0.0,generational,0.7019725730390155,0.6236559139784946,0.7449367088607595,0.022559039025361705
5,rank_0.05,0.4,0.3,0.0,elite_2,0.7148889774938151,0.6462025316455696,0.7417721518987341,0.014546403435321655
5,rank_0.05,0.4,0.3,0.4,generational,0.7025741503134533,0.6170886075949367,0.7462025316455696,0.022012525723146992
5,rank_0.05,0.4,0.3,0.4,elite_2,0.7108350939559164,0.629348513598988,0.7430379746835443,0.01600356804998166
5,rank_0.05,0.8,0.0,0.0,generational,0.6750605241034756,0.600632911392405,0.7360759493670886,0.03084733361085959
5,rank_0.05,0.8,0.0,0.0,elite_2,0.7033182683608356,0.6303797468354431,0.7443037974683544,0.02378943089280099
5,rank_0.05,0.8,0.0,0.4,generational,0.6716702295454727,0.6082278481012658,0.7227848101265822,0.029802147762726234
