max_depth,reproduction,mutation_probability,leaf_inner_swap_probability,crossover_probability,succesion,accuracy,min_score,max_score,std_dev
5,rank_0.05,0.8,0.0,0.0,generational,0.8683076923076923,0.7142857142857143,0.956043956043956,0.04906470447058356
5,rank_0.05,0.8,0.0,0.0,elite_2,0.8994285714285715,0.7912087912087912,0.956043956043956,0.03179580835998274
5,rank_0.05,0.8,0.0,0.4,generational,0.8745494505494505,0.7362637362637363,0.967032967032967,0.04444481883707339
5,rank_0.05,0.8,0.0,0.4,elite_2,0.9076923076923077,0.8351648351648352,0.978021978021978,0.02698973149456212
5,rank_0.05,0.8,0.3,0.0,generational,0.8980219780219781,0.8241758241758241,0.967032967032967,0.02899368931952791
5,rank_0.05,0.8,0.3,0.0,elite_2,0.9146373626373626,0.8571428571428571,0.967032967032967,0.025964869743076914
5,rank_0.05,0.8,0.3,0.4,generational,0.895032967032967,0.8131868131868132,0.967032967032967,0.02357937833681816
5,rank_0.05,0.8,0.3,0.4,elite_2,0.9080439560439559,0.7912087912087912,0.978021978021978,0.030752008143939736
5,truncation_0.8,0.4,0.0,0.0,generational,0.8945934065934066,0.7802197802197802,0.967032967032967,0.03089607722149054
5,truncation_0.8,0.4,0.0,0.0,elite_2,0.908923076923077,0.7912087912087912,0.967032967032967,0.030282265971434495
5,truncation_0.8,0.4,0.0,0.4,generational,0.8766593406593407,0.7252747252747253,0.967032967032967,0.04630518224907924
5,truncation_0.8,0.4,0.0,0.4,elite_2,0.9153406593406593,0.8461538461538461,0.967032967032967,0.02437416624488406
5,truncation_0.8,0.4,0.3,0.0,generational,0.894945054945055,0.7472527472527473,0.956043956043956,0.03137475778492343
5,truncation_0.8,0.4,0.3,0.0,elite_2,0.9170989010989011,0.8571428571428571,0.967032967032967,0.02544844204947711
5,truncation_0.8,0.4,0.3,0.4,generational,0.8938901098901099,0.7692307692307693,0.956043956043956,0.03410262058138709
5,truncation_0.8,0.4,0.3,0.4,elite_2,0.9188571428571428,0.8571428571428571,0.967032967032967,0.026471812976315345
5,truncation_0.8,0.8,0.0,0.0,generational,0.882989010989011,0.7362637362637363,0.967032967032967,0.04492584889032515
5,truncation_0.8,0.8,0.0,0.0,elite_2,0.9087472527472528,0.8351648351648352,0.967032967032967,0.024541401454198523
5,truncation_0.8,0.8,0.0,0.4,generational,0.8753406593406594,0.7032967032967034,0.967032967032967,0.04637327356807848
5,truncation_0.8,0.8,0.0,0.4,elite_2,0.9047032967032966,0.8241758241758241,0.989010989010989,0.02879740483347653
5,truncation_0.8,0.8,0.3,0.0,generational,0.8949450549450549,0.8131868131868132,0.967032967032967,0.02563511688979305
5,truncation_0.8,0.8,0.3,0.0,elite_2,0.9214065934065934,0.8571428571428571,0.967032967032967,0.024255291390880746
5,truncation_0.8,0.8,0.3,0.4,generational,0.8914285714285713,0.8131868131868132,0.967032967032967,0.0290272584975236
5,truncation_0.8,0.8,0.3,0.4,elite_2,0.9166593406593406,0.8461538461538461,0.989010989010989,0.02706842102624254
5,tournament_2,0.4,0.0,0.0,generational,0.9028571428571428,0.8131868131868132,0.956043956043956,0.026531196553123186
5,tournament_2,0.4,0.0,0.0,elite_2,0.9069010989010989,0.8241758241758241,0.967032967032967,0.029853439983034958
5,tournament_2,0.4,0.0,0.4,generational,0.9098021978021978,0.8351648351648352,0.978021978021978,0.02857742690559386
5,tournament_2,0.4,0.0,0.4,elite_2,0.918945054945055,0.8571428571428571,0.989010989010989,0.028453386894352586
5,tournament_2,0.4,0.3,0.0,generational,0.9105934065934066,0.8461538461538461,0.956043956043956,0.02410579267375076
